Item # ,Product Image ,Item Lookup Code,BRAND1,Description,Ingredents ,Supplier Name,Bin Location,Wholesale Pricing ,Price,Reorder Number,Restock Level,New Order,Qty On Hand,Reorder Point,Cost,Departments,Categories,Product Title -                                                    Extended Description (ED),BRAND2,Date Created,Last Sold,Available Quantity,Quantity Committed,Last Cost
,,810078423539,RHL 1,B COMPLEX  (RASP) 1 OZ,https://docs.google.com/spreadsheets/d/1vSGrcU_lx-06OJrTmCkgWfJ1ARY3Er2paEUbayuiFVg/edit?gid=0#gid=0,RAY'S HEALTHY LIVING -,1/2 >*,,13.99,4013021,10,5,5,0,5.18,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, B Complex, Fast Absorption, Raspberry, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,9/27/2019 20:23,7/6/2026 15:37,0,0,0
,,810078423546,RHL 1,B COMPLEX  (RASP) 2 OZ,,RAY'S HEALTHY LIVING -,1/2 >*,,19.99,4013022,0,,0,0,9.64,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, B Complex, Fast Absorption, Raspberry, Dietary Supplement, 2 fl oz (59 ml)",,6/18/2020 15:57,7/6/2026 15:37,0,0,0
,,810078423553,RHL 1,B12 (RASP) 1000 MCG 1 OZ,,RAY'S HEALTHY LIVING -,1/2 >*,,13.99,4013011,0,,3,0,4.69,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, B-12 1,000mcg, Fast Absorption, Raspberry, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,9/1/2019 23:51,9/15/2025 15:22,3,0,5.7
,,810078423560,RHL 1,B12 RAS 1000 MCG 2 OZ,,RAY'S HEALTHY LIVING -,1/2 >*,,19.99,4013012,0,,3,1,8.74,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, B-12 1,000mcg, Fast Absorption, Raspberry, Dietary Supplement, Net Wt. 2 fl oz (59ml)",,9/1/2019 23:52,3/21/2026 15:47,3,0,10.7
,,810078423577,RHL 1,B12 5000 MCG (RASP) 1 OZ,,RAY'S HEALTHY LIVING -,1/2 >*,,19.99,4017601,0,,2,0,7.84,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, B-12 5,000mcg, Fast Absorption, Raspberry, Dietary Supplement,  Net Wt. 1 fl oz (30ml)",,9/1/2019 23:50,7/20/2026 13:50,2,0,9.5
,,810078423584,RHL 1,B12 SPRAY (RASP) 1 OZ,,RAY'S HEALTHY LIVING -,1/2 >*,,13.99,4016771,0,,3,0,6.26,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, B-12 Spray 500mcg, Fast Absorption, Raspberry, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,9/27/2019 20:44,4/10/2023 15:17,3,0,0
,,810078423591,RHL 1,B12 FOLIC B6 (RASP) 1 OZ,,RAY'S HEALTHY LIVING -,1/2 >*,,13.99,4016781,0,,2,0,4.95,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, B-12 with Folic Acid & B-6, Fast Absorption, Raspberry, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,9/27/2019 20:50,6/30/2026 13:58,2,0,0
,,810078423669,RHL 1,FOLIC ACID 400 MCG 1 OZ,,RAY'S HEALTHY LIVING -,1/2 >*,,15.89,4017531,0,,0,0,8.8,VITAMINS A - Z,B VITAMINS,"Ray's Healthy Living, Folic Acid Liquid Folate 400mcg, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,9/27/2019 21:20,5/23/2026 12:22,0,0,0
,,810078423690,RHL 1,VIT C 500 MG ORNG 4 OZ,,RAY'S HEALTHY LIVING -,1/3 >*,,13.99,4017614,0,,1,0,5.9,VITAMINS A - Z,C VITAMINS,"Ray's Healthy Living, Liquid C 500mg, Orange Flavor, Dietary Supplement, Net Wt. 4 fl oz (118ml)",,9/27/2019 21:43,6/27/2026 17:27,1,0,0
,,810078423607,RHL 1,VIT D3 50 MCG 2K IU CIT 1 OZ,,RAY'S HEALTHY LIVING -,1/4 >*,,13.99,4020531,0,,2,0,5.75,VITAMINS A - Z,D VITAMINS,"Ray's Healthy Living, Vitamin D3 50 mcg, 2,000 IU, Citrus, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,9/27/2019 21:06,5/1/2026 14:08,2,0,3.3557
,,810078423621,RHL 1,VIT D3 50 MCG 2K IU 1 OZ,,RAY'S HEALTHY LIVING -,1/4 >*,,13.99,4020521,0,,1,0,5.75,VITAMINS A - Z,D VITAMINS,"Ray's Healthy Living, Vitamin D3 50mcg, 2,000 IU, No Flavor, Dietary Supplement, Net Wt. 1 fl oz (30 ml)",,11/20/2020 14:36,5/29/2026 11:29,1,0,3.3557
,,810078423638,RHL 1,VIT-D3 125 MCG 5K IU CIT 1 OZ,,RAY'S HEALTHY LIVING -,1/4 >*,,15.99,4020561,0,,5,0,7.35,VITAMINS A - Z,D VITAMINS,"Ray's Healthy Living, Vitamin D3 125mcg, 5,000 IU, Citrus, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,11/16/2020 12:04,10/22/2025 14:11,5,0,5.6467
,,810078423652,RHL 1,VIT D3 125 MCG 5K IU 1 OZ,,RAY'S HEALTHY LIVING -,1/4 >*,,15.99,4020551,0,,2,0,7.35,VITAMINS A - Z,D VITAMINS,"Ray's Healthy Living, Vitamin D3 125mcg, 5,000 IU, Dietary Supplement, Net Wt. 1 fl oz (30ml)",,9/27/2019 21:09,5/8/2026 15:33,2,0,5.2057
,,810078420309,RHL 1,CATS CLAW 90 VCAP,,RAY'S HEALTHY LIVING -,10/2 >*,,23.99,4019730,0,,2,0,5.1,JOINT SUPPORT,PAIN MANAGMENT,"Ray's Healthy Living, Cat's Claw, 100% Vegetarian, Herbal Supplement, 90 Veggie Caps",,9/1/2019 3:13,4/16/2026 13:34,2,0,5.5
,,810078421153,RHL 1,CATS CLAW 1 OZ,,RAY'S HEALTHY LIVING -,10/2 >*,,19.99,4003891,0,,1,0,5.91,JOINT SUPPORT,PAIN MANAGMENT,"Ray's Healthy Living, Cat's Claw, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:05,7/20/2026 11:47,1,0,6.6
,,810078421276,RHL 1,DEVILS CLAW 1 OZ,,RAY'S HEALTHY LIVING -,10/2 >*,,13.99,4003991,0,,2,0,5.51,JOINT SUPPORT,PAIN MANAGMENT,"Ray's Healthy Living, Devil's Claw, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:32,5/5/2026 15:05,2,0,4.5557
,,810078420538,RHL 1,GLUC CHOND PLUS 120 VCAP,,RAY'S HEALTHY LIVING -,10/4 >*,,24.99,4017460,0,,3,0,13.3,JOINT SUPPORT,JOINT HEALTH,"Ray's Healthy Living, Glucosamine Chondroitin Plus, Herbal Supplement, 120 Veggie Caps",,9/1/2019 20:44,3/28/2025 15:16,3,0,13.3
,,810078423102,RHL 1,MUSC-SKEL 1 OZ,,RAY'S HEALTHY LIVING -,10/4 >*,,13.99,4006731,0,,0,0,7.15,JOINT SUPPORT,JOINT HEALTH,"Ray's Healthy Living, Musc-Skel, Herbal Supplement, Net Wt. 1 fl oz (30ml)",,11/16/2020 13:54,1/2/2023 11:12,0,0,4.6557
,,810078420163,RHL 1,TURMERIC 60 L-VCAP,,RAY'S HEALTHY LIVING -,10/5 >*,,24.99,4020970,0,,1,0,12.75,JOINT SUPPORT,JOINT AND ARTHRITIS,"Ray's Healthy Living, Turmeric, 100% Vegetarian, Herbal Supplement, 60 Liquid Veggie Caps",,9/20/2019 19:40,5/25/2026 12:57,1,0,11.3707
,,810078420170,RHL 1,TURMERIC 120 Liq Veg Caps,,RAY'S HEALTHY LIVING -,10/5 >*,,43.99,4020980,0,,2,0,22.4,JOINT SUPPORT,INFLAMMATION,"Ray's Healthy Living, Turmeric, Herbal Supplement, 120 Liq Veggie Caps",,11/9/2023 18:31,12/20/2025 16:15,2,0,0
,,810078420637,RHL 1,INFLACALM 60 VCAP,,RAY'S HEALTHY LIVING -,10/5 >*,,21.99,4017390,0,,4,0,11.6,JOINT SUPPORT,INFLAMMATION,"Ray's Healthy Living, Inflacalm, 100% Vegetarian, Herbal Supplement, 60 Veggie Caps",,9/23/2019 8:57,7/10/2025 9:27,4,0,0
,,810078420934,RHL 1,TURMERIC 60 VCAP,,RAY'S HEALTHY LIVING -,10/5 >*,,25.99,4015610,0,,4,0,14.4,JOINT SUPPORT,JOINT AND ARTHRITIS,"Ray's Healthy Living, Turmeric, Herbal Supplement, 60 Veggie Caps",,9/1/2019 21:20,2/9/2026 13:07,4,0,14.4
,,810078420958,RHL 1,TUMER- AM ACHE 60 VCAP,,RAY'S HEALTHY LIVING -,10/5 >*,,19.99,4021670,0,,-2,0,11,JOINT SUPPORT,INFLAMMATION,"Ray's Healthy Living, Turmeric AM Ache Relief, 100% Vegetarian, Herbal Supplement, 60 Veggie Caps",,6/19/2020 12:03,6/4/2026 18:02,-2,0,0
